rank,name,AUC,sensitivity,specificity,accuracy,precision,recall,f1_test,model,size,best_param,time
1,trainedall__GradientBoostingClassifier,0.8647938303479878,0.4911242603550296,0.9964437853476977,0.9789440885690065,0.8320516341664378,0.4911242603550296,0.6176665477343392,"GradientBoostingClassifier(max_depth=10, n_estimators=50, random_state=0)","[766099, 383028, 356242]","{'clf__max_depth': 10, 'clf__n_estimators': 50}",4192.681957244873
2,RandomForestClassifier,0.8643327941708154,0.5128475318148659,0.9952661345429697,0.9785595185295389,0.7953488372093023,0.5128475318148659,0.6235955056179775,"RandomForestClassifier(max_features='sqrt', min_samples_split=0.01,
                       n_estimators=80, random_state=0)","[712074, 355906, 356242]","{'clf__max_features': 'sqrt', 'clf__min_samples_split': 0.01, 'clf__n_estimators': 80}",798.9559180736542
3,trainedall__RandomForestClassifier,0.8643306052634088,0.49161060225338415,0.9962111629665169,0.9787363646060824,0.8231541802388708,0.49161060225338415,0.6155798020806903,"RandomForestClassifier(max_features='sqrt', min_samples_split=0.01,
                       n_estimators=60, random_state=0)","[766099, 383028, 356242]","{'clf__max_features': 'sqrt', 'clf__min_samples_split': 0.01, 'clf__n_estimators': 60}",1003.5415887832642
4,DecisionTreeClassifier,0.8640809690590774,0.513901272594634,0.9952457800846164,0.9785763610130193,0.7949843260188088,0.513901272594634,0.6242615202835762,"DecisionTreeClassifier(criterion='entropy', min_samples_split=0.01,
                       random_state=0)","[712074, 355906, 356242]","{'clf__criterion': 'entropy', 'clf__min_samples_split': 0.01}",23.437758445739746
5,trainedall__DecisionTreeClassifier,0.864006545500165,0.4719948123530842,0.9968625056338233,0.9786858371556414,0.8436685018835121,0.4719948123530842,0.6053329175113051,"DecisionTreeClassifier(min_samples_split=0.01, random_state=0)","[766099, 383028, 356242]","{'clf__criterion': 'gini', 'clf__min_samples_split': 0.01}",31.916354179382324
6,GradientBoostingClassifier,0.8621666350675126,0.49071897543973414,0.9964263386691092,0.9789132106826258,0.8312508581628449,0.49071897543973414,0.6171253822629968,"GradientBoostingClassifier(max_depth=15, n_estimators=90, random_state=0)","[712074, 355906, 356242]","{'clf__max_depth': 15, 'clf__n_estimators': 90}",1724.3500406742096
7,MLPClassifier,0.8606252184686977,0.4645375699116479,0.9971503758305346,0.9787054867197018,0.8539710922366265,0.4645375699116479,0.6017429651406973,"MLPClassifier(hidden_layer_sizes=(4, 4, 4), learning_rate='adaptive',
              learning_rate_init=0.01, random_state=0)","[712074, 355906, 356242]","{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (4, 4, 4), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01}",140.5833396911621
8,trainedall__MLPClassifier,0.8586857339616716,0.47434546486179785,0.9968770445326471,0.9787812778953633,0.8449321397632111,0.47434546486179785,0.6075896796968281,"MLPClassifier(hidden_layer_sizes=(5, 5, 5), learning_rate='adaptive',
              learning_rate_init=0.01, random_state=0)","[766099, 383028, 356242]","{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (5, 5, 5), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01}",191.19048690795898
9,LogisticRegression,0.8582706199399776,0.49428548269433414,0.9961152062342798,0.9787363646060824,0.8202851762173796,0.49428548269433414,0.6168630822922462,"LogisticRegression(C=0.01, max_iter=1000, random_state=123)","[712074, 355906, 356242]","{'clf__C': 0.01, 'clf__penalty': 'l2'}",25.68473172187805
10,trainedall__LogisticRegression,0.8523094444471098,0.4079597957364027,0.998226254343496,0.9777847642894437,0.8919014708488393,0.4079597957364027,0.5598442714126808,"LogisticRegression(C=10.0, max_iter=1000, random_state=123)","[766099, 383028, 356242]","{'clf__C': 10.0, 'clf__penalty': 'l2'}",37.08053398132324
